,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
45,The Valley,20,AI,1553886170,61,18.22,-63.06,302.59,5.1
46,Esperance,40,TT,1553886097,62,10.24,-61.45,304.15,6.7
47,Norman Wells,75,CA,1553882400,92,65.28,-126.83,275.15,7.7
48,Tasiilaq,75,GL,1553881800,62,65.61,-37.64,266.15,1.0
49,Kahului,20,US,1553886271,68,20.89,-156.47,297.04,2.11
50,Punta Arenas,40,CL,1553886147,58,-53.16,-70.91,285.15,14.9
51,Saiha,0,IN,1553886596,81,22.49,92.98,290.167,0.61
52,Hermanus,0,ZA,1553886086,90,-34.42,19.24,290.93,1.16
53,Floriano,20,BR,1553886599,66,-6.77,-43.02,304.717,4.46
54,Hobart,75,AU,1553886556,81,-42.88,147.33,285.15,2.6
55,Sawtell,75,AU,1553886206,78,-30.38,153.1,297.15,8.2
56,Umred,12,IN,1553884200,26,20.85,79.32,302.15,1.51
57,Oussouye,0,SN,1553882400,61,12.49,-16.54,306.15,5.1
58,Arkhangelskoye,76,RU,1553886606,92,54.46,37.62,273.667,2.36
59,Hamilton,90,BM,1553886172,88,32.3,-64.78,291.15,10.3
60,New Norfolk,75,AU,1553886556,81,-42.78,147.06,285.15,2.6
61,Nikolskoye,0,RU,1553886336,80,59.7,30.79,277.59,3.0
62,Bluff,92,AU,1553886611,96,-23.58,149.07,295.717,3.06
63,Taoudenni,76,ML,1553886613,26,22.68,-3.98,305.367,2.46
64,Lehi,40,US,1553886305,56,40.39,-111.85,280.37,6.7
65,Ureshino,88,JP,1553886555,67,33.13,130.06,288.15,1.5
66,Sindor,76,RU,1553886617,76,62.87,51.9,271.917,6.16
67,East London,0,ZA,1553882400,82,-33.02,27.91,293.15,2.6
68,Chara,20,GR,1553886204,41,39.42,22.43,284.26,2.11
69,Lorengau,48,PG,1553886621,99,-2.02,147.27,301.217,4.36
70,Kavieng,36,PG,1553886622,100,-2.57,150.8,301.967,3.21
71,Benito Juarez,24,MX,1553886619,22,28.64,-111.57,305.37,3.58
72,Hithadhoo,12,MV,1553886625,100,-0.6,73.08,301.417,3.31
73,Leningradskiy,56,RU,1553886626,88,69.38,178.42,256.567,4.51
74,Tura,80,IN,1553886628,91,25.52,90.21,293.517,0.86
75,Dikson,76,RU,1553886629,95,73.51,80.55,269.117,7.96
76,Namatanai,36,PG,1553886630,100,-3.66,152.44,300.217,3.91
77,Pevek,0,RU,1553886632,69,69.7,170.27,249.767,3.21
78,Tynda,68,RU,1553886633,72,55.15,124.74,259.317,1.56
79,Giyani,32,ZA,1553886634,64,-23.32,30.73,299.117,3.51
80,Jumla,32,NP,1553886636,86,29.28,82.18,273.467,0.81
81,Lagoa,20,PT,1553886428,72,37.14,-8.45,290.15,3.6
82,San Vicente,20,SV,1553886349,28,13.64,-88.78,308.15,5.1
83,Busselton,0,AU,1553886623,41,-33.64,115.35,285.93,8.11
84,Marystown,56,CA,1553886564,73,47.17,-55.16,276.617,8.21
85,Xining,0,CN,1553886643,58,36.62,101.77,266.217,1.11
86,Arraial do Cabo,20,BR,1553882400,61,-22.97,-42.02,301.15,4.1
87,Saint Anthony,90,US,1553885580,52,43.97,-111.68,279.15,4.6
88,Shaowu,20,CN,1553886647,95,27.34,117.49,281.767,0.91
89,Padang,24,ID,1553886649,100,-0.92,100.36,300.417,2.01
90,Tonstad,75,NO,1553886259,93,58.66,6.71,280.37,3.6
91,Sturgis,90,US,1553886644,100,44.41,-103.51,275.37,3.1
92,Mayna,20,RU,1553886653,81,53.0,91.49,266.817,0.61
93,Souillac,0,FR,1553886626,42,45.6,-0.6,290.15,1.0
94,Naze,75,NG,1553882400,79,5.43,7.07,303.15,2.6
95,Arlit,0,NE,1553886657,20,18.74,7.39,304.417,3.21
96,Moroni,76,US,1553886546,76,39.52,-111.59,279.26,4.02
97,Bredasdorp,0,ZA,1553886086,73,-34.53,20.04,294.15,2.6
98,Severo-Kurilsk,48,RU,1553886661,99,50.68,156.12,271.367,4.51
99,Qaanaaq,12,GL,1553886662,75,77.48,-69.36,253.217,3.91
100,Uvinza,68,TZ,1553886664,84,-5.1,30.39,293.867,1.36
101,Beringovskiy,92,RU,1553886665,95,63.05,179.32,273.617,8.91
102,Portland,75,US,1553886651,66,45.52,-122.67,286.48,0.86
103,Ponta do Sol,56,BR,1553886668,57,-20.63,-46.0,300.967,2.01
104,Ternate,20,PH,1553886576,78,14.29,120.72,300.15,4.1
105,Kushima,100,JP,1553886146,76,31.5,131.29,285.93,0.89
106,Salta,40,AR,1553882400,56,-24.79,-65.41,295.15,2.6
107,Victoria,75,BN,1553884200,94,5.28,115.24,299.15,0.5
108,Cape Town,0,ZA,1553886379,82,-33.93,18.42,292.59,2.1
109,Flinders,90,AU,1553886605,93,-34.58,150.85,292.04,6.2
110,Castro,90,CL,1553882400,87,-42.48,-73.76,285.15,5.7
111,Lata,12,IN,1553886679,89,30.78,78.62,280.917,0.96
112,Tuktoyaktuk,90,CA,1553882400,92,69.44,-133.03,267.15,5.7
113,Avarua,88,CK,1553884200,83,-21.21,-159.78,298.15,3.6
114,Moron,48,VE,1553886683,67,10.49,-68.2,302.317,1.21
115,Port Shepstone,8,ZA,1553886684,93,-30.74,30.45,295.317,2.51
116,Clyde River,75,CA,1553882400,76,70.47,-68.59,253.15,10.8
117,Mogadishu,0,SO,1553886454,97,2.04,45.34,301.817,7.11
118,Khatanga,68,RU,1553886688,89,71.98,102.47,266.167,4.36
119,Tirumullaivasal,0,IN,1553886689,90,11.24,79.84,300.217,4.36
120,Bandarbeyla,0,SO,1553886691,100,9.49,50.81,299.617,3.31
121,Isangel,88,VU,1553882400,94,-19.55,169.27,296.15,1.0
122,Bambanglipuro,24,ID,1553886693,96,-7.95,110.28,293.667,1.16
123,Vanimo,12,PG,1553886695,96,-2.67,141.3,302.217,7.06
124,Vardo,1,US,1553886665,63,39.62,-77.74,292.59,2.1
125,Kodiak,90,US,1553886651,75,39.95,-94.76,281.15,5.1
126,Panguna,32,PG,1553886699,90,-6.32,155.48,296.117,1.21
127,Chandler,20,US,1553886431,17,33.31,-111.84,299.26,3.6
128,Bestobe,0,KZ,1553886702,88,52.5,73.1,274.467,4.46
129,Shenjiamen,0,CN,1553886703,90,29.96,122.3,285.767,1.36
130,Zagreb,0,HR,1553885755,43,45.81,15.98,284.15,1.5
131,Guerrero Negro,12,MX,1553886706,61,27.97,-114.04,293.317,2.81
132,Mahebourg,20,MU,1553886545,74,-20.41,57.7,300.15,0.5
133,Kuytun,12,RU,1553886709,85,54.34,101.51,264.767,1.31
134,Cockburn Town,0,TC,1553886710,100,21.46,-71.14,298.567,2.21
135,Faanui,0,PF,1553886711,100,-16.48,-151.75,301.967,2.81
136,Awbari,12,LY,1553886713,35,26.59,12.77,291.617,4.51
137,Marawi,36,PH,1553886056,90,8.0,124.29,294.26,2.68
138,Grindavik,40,IS,1553885983,64,63.84,-22.43,274.26,6.7
139,Sauda,75,NO,1553886604,93,59.65,6.35,280.93,5.7
140,Chitipa,68,MW,1553886718,95,-9.7,33.27,290.617,1.21
141,Basco,75,US,1553886630,54,40.33,-91.2,289.15,5.1
142,Zaraza,20,VE,1553886721,76,9.35,-65.33,305.667,5.66
143,Kargasok,88,RU,1553886722,74,59.06,80.87,275.367,3.71
144,Vargashi,56,RU,1553886723,93,55.36,65.85,273.917,4.01
145,Maudaha,0,IN,1553886725,37,25.68,80.11,299.417,2.76
146,Lawton,90,US,1553886328,64,34.61,-98.39,296.15,9.3
147,Cherskiy,48,RU,1553886727,68,68.75,161.3,256.567,2.31
148,Tonk,0,IN,1553886729,29,26.16,75.79,298.417,2.71
149,Luganville,8,VU,1553886730,98,-15.51,167.18,301.317,5.16
150,Shakhtinsk,90,KZ,1553884200,93,49.71,72.59,276.15,4.0
151,Mpika,0,ZM,1553886733,46,-11.84,31.4,294.217,3.86
152,Yarada,0,IN,1553882400,83,17.65,83.27,301.15,1.5
153,Plettenberg Bay,0,ZA,1553886736,99,-34.05,23.37,292.417,4.01
154,Umiray,68,PH,1553886737,90,15.22,121.41,293.917,1.01
155,Saskylakh,20,RU,1553886738,75,71.97,114.09,264.567,6.51
156,Dabakala,36,CI,1553886740,55,8.36,-4.43,304.667,1.66
157,Butaritari,92,KI,1553886689,100,3.07,172.79,300.817,7.46
158,Daru,36,SL,1553886742,62,7.99,-10.85,307.067,2.61
159,Jamestown,8,AU,1553886744,78,-33.21,138.6,280.917,4.81
160,Saint-Augustin,0,FR,1553886638,39,44.83,-0.61,291.15,4.1
161,Longyearbyen,75,NO,1553881800,73,78.22,15.63,269.15,5.7
162,Terrace Bay,75,CA,1553882400,46,48.78,-87.1,272.15,4.1
163,Atar,40,MR,1553882400,37,20.52,-13.05,298.15,2.1
164,Dingle,0,PH,1553886751,70,11.0,122.67,294.817,3.56
165,Ahipara,92,NZ,1553886752,97,-35.17,173.16,291.517,4.66
166,Kudahuvadhoo,0,MV,1553886754,100,2.67,72.89,302.267,3.86
167,Simbahan,0,PH,1553886755,100,6.3,120.58,301.217,1.16
168,Senanga,8,ZM,1553886757,33,-16.1,23.3,300.217,4.01
169,Sur,0,OM,1553886758,91,22.57,59.53,297.567,3.11
170,Nouadhibou,20,MR,1553882400,68,20.93,-17.03,294.15,7.2
171,Pochutla,20,MX,1553885194,46,15.74,-96.47,305.37,2.66
172,Pangnirtung,90,CA,1553882400,53,66.15,-65.72,267.15,9.8
173,San Jose,76,PH,1553886582,91,15.79,120.99,295.567,0.76
174,Broome,0,GB,1553886757,71,52.47,1.45,285.93,4.1
175,Provideniya,92,RU,1553886768,94,64.42,-173.23,272.967,12.91
176,Saint-Joseph,0,FR,1553886614,54,43.56,6.97,287.15,1.0
177,Mantua,0,IT,1553886663,46,45.16,10.79,288.15,1.5
178,Canas,40,BR,1553886223,61,-22.7,-45.05,299.15,2.6
179,Sola,75,NO,1553886604,93,58.89,5.65,280.37,3.6
180,Pontes e Lacerda,64,BR,1553886775,80,-15.23,-59.33,301.917,2.66
181,Mount Gambier,40,AU,1553882400,81,-37.83,140.78,280.15,4.1
182,Ribeira Grande,20,PT,1553886000,72,38.52,-28.7,289.15,4.6
183,Presidencia Roque Saenz Pena,0,AR,1553886778,64,-26.79,-60.44,305.217,2.71
184,Maldonado,75,UY,1553882400,69,-34.91,-54.96,296.15,4.1
185,Agadir,20,MA,1553884200,23,30.42,-9.58,297.15,5.7
186,Hashtrud,80,IR,1553886782,81,37.48,47.05,275.417,4.31
187,Thinadhoo,8,MV,1553886577,100,0.53,72.93,302.117,3.41
188,Huilong,0,CN,1553886785,91,28.89,110.18,285.817,2.16
189,Avera,1,US,1553886775,33,33.19,-82.53,298.15,4.1
190,Faya,0,SA,1553882400,77,18.39,42.45,292.15,5.1
191,Tiksi,36,RU,1553886789,82,71.64,128.87,264.217,5.21
192,Airai,56,TL,1553886790,91,-8.93,125.41,293.917,0.51
193,Saldanha,0,PT,1553886792,24,41.42,-6.55,291.017,1.06
194,Kampot,20,KH,1553884200,88,10.62,104.18,298.15,1.0
195,Biloela,92,AU,1553886795,96,-24.4,150.51,294.567,2.81
196,Wajima,92,JP,1553886796,83,37.4,136.9,281.067,4.66
197,Veraval,0,FR,1553886769,58,49.65,0.71,289.26,2.1
198,Vao,0,EE,1553886799,86,59.1,26.19,276.617,5.16
199,Chamrajnagar,24,IN,1553886800,62,11.92,76.95,297.317,2.96
200,Port Elizabeth,75,US,1553886517,45,39.31,-74.98,294.26,4.1
201,Nuevitas,40,CU,1553881800,42,21.55,-77.27,301.15,6.7
202,Arman,0,RU,1553886804,61,59.7,150.17,260.317,3.81
203,Gorontalo,44,ID,1553886805,93,0.54,123.06,296.017,0.31
204,Chulym,92,RU,1553886806,92,55.09,80.97,274.167,4.31
205,Kaitangata,0,NZ,1553886730,94,-46.28,169.85,279.82,1.34
206,Canico,75,PT,1553886619,77,32.63,-16.85,290.15,3.1
207,La Asuncion,40,EC,1553882400,43,-1.64,-78.74,295.15,5.1
208,Kununurra,0,AU,1553884200,88,-15.77,128.74,295.15,1.16
209,Sao Filipe,0,CV,1553886813,91,14.9,-24.5,295.567,7.91
210,Nome,40,US,1553886782,57,30.04,-94.42,298.71,7.7
211,Touros,40,BR,1553882400,83,-5.2,-35.46,300.15,1.5
212,Grand Gaube,20,MU,1553886545,74,-20.01,57.66,300.15,0.5
213,Salalah,0,OM,1553881800,88,17.01,54.1,299.15,1.5
214,Sal Rei,20,CV,1553882400,64,16.18,-22.92,297.15,8.2
215,Santa Rita,32,VE,1553886821,76,10.21,-67.56,300.667,0.91
216,Ignalina,0,LT,1553886823,65,55.34,26.16,280.867,7.51
217,Omboue,64,GA,1553886824,100,-1.57,9.26,301.767,5.21
218,Camacha,40,PT,1553886000,72,33.08,-16.33,290.15,3.1
219,Alexandria,20,US,1553886682,56,31.31,-92.44,297.59,4.1
220,Bagotville,90,AU,1553886564,88,-28.98,153.42,296.15,2.1
221,Goderich,0,CA,1553886806,50,43.74,-81.71,281.48,4.47
222,Itoman,20,JP,1553886747,83,26.12,127.67,296.15,3.6
223,Thompson,20,CA,1553882400,40,55.74,-97.86,265.15,5.7
224,Shenkursk,92,RU,1553886834,95,62.11,42.91,276.817,5.31
225,Mulanur,0,IN,1553886836,40,10.79,77.71,301.317,3.96
226,Mugur-Aksy,80,RU,1553886837,66,50.38,90.44,258.967,0.91
227,Uniontown,90,US,1553886835,51,39.9,-79.72,289.26,3.6
228,Maniitsoq,80,GL,1553886840,84,65.42,-52.9,269.117,8.41
229,Don Benito,0,ES,1553886766,26,38.95,-5.86,290.93,1.34
230,Belaya Gora,24,RU,1553886843,54,68.54,146.19,252.717,2.41
231,Rosetta,40,EG,1553882400,72,31.4,30.42,290.15,2.1
232,Le Port,48,FR,1553886845,47,42.87,1.37,285.93,1.34
233,Olongapo,40,PH,1553882400,88,14.83,120.28,301.15,1.5
234,Khani,90,GE,1553884200,81,41.96,42.96,279.15,2.1
235,Namibe,12,AO,1553886852,96,-15.19,12.15,299.467,2.21
236,Asheboro,1,US,1553886847,23,35.71,-79.81,297.59,4.1
237,Morant Bay,20,JM,1553886000,54,17.88,-76.41,302.15,4.1
238,Oistins,40,BB,1553882400,66,13.07,-59.53,302.15,8.2
239,Narsaq,75,GL,1553885400,79,60.91,-46.05,270.15,1.41
240,Koshki,64,RU,1553886858,90,54.2,50.47,272.117,4.41
241,Sobolevo,56,RU,1553886708,76,54.43,31.9,280.617,5.81
242,Ballaghaderreen,75,IE,1553886784,87,53.9,-8.58,283.15,3.1
243,Terney,0,RU,1553886862,90,45.05,136.61,270.467,2.06
244,Torbay,44,CA,1553886640,71,47.66,-52.73,276.48,3.13
245,Batemans Bay,92,AU,1553886602,96,-35.71,150.18,289.26,0.89
246,Ayan,0,TR,1553886866,50,40.67,33.6,269.817,1.81
247,Hobyo,0,SO,1553886868,87,5.35,48.53,299.567,5.06
248,Indian Trail,75,US,1553886861,33,35.08,-80.67,297.59,1.5
249,Tilichiki,56,RU,1553886870,76,60.47,166.1,266.417,3.91
250,Lodeynoye Pole,0,RU,1553886872,89,60.73,33.55,275.367,5.46
251,Vestmannaeyjar,40,IS,1553882400,97,63.44,-20.27,273.15,2.6
252,Lavrentiya,92,RU,1553886874,95,65.58,-170.99,271.617,10.66
253,Marsh Harbour,64,BS,1553886876,100,26.54,-77.06,296.117,7.71
254,Hualmay,20,PE,1553886877,66,-11.1,-77.61,298.417,2.41
255,Bhim Tal,12,IN,1553886878,77,29.35,79.57,287.817,0.96
256,Saint-Philippe,90,CA,1553886821,70,45.36,-73.48,281.48,3.1
257,Tuy Hoa,32,VN,1553886719,96,13.08,109.3,297.817,1.31
258,Kaeo,92,NZ,1553886484,94,-35.1,173.78,290.93,4.56
259,Sept-Iles,75,CA,1553882400,43,50.2,-66.38,274.15,6.7
260,Lodwar,0,KE,1553886885,43,3.12,35.6,302.767,3.66
261,Manitouwadge,75,CA,1553882400,46,49.12,-85.84,272.15,4.1
262,Pavlodar,0,KZ,1553884200,81,52.28,76.96,281.15,5.0
263,Warrnambool,92,AU,1553886727,93,-38.38,142.48,279.26,5.51
264,Belfast,8,GB,1553886783,81,54.6,-5.93,284.82,4.1
265,Qandala,0,SO,1553886892,92,11.47,49.87,294.917,1.21
266,Liling,100,CN,1553882400,100,27.65,113.49,286.15,1.0
267,Axim,0,GH,1553886895,92,4.87,-2.24,302.667,4.76
268,Novyy Urengoy,88,RU,1553886896,92,66.08,76.63,272.767,6.31
269,West Bay,0,GB,1553886892,66,50.71,-2.76,284.82,2.1
270,Merauke,68,ID,1553886898,100,-8.49,140.4,298.717,4.96
271,Geraldton,75,CA,1553882400,51,49.72,-86.95,273.15,4.1
272,Bodden Town,20,KY,1553886005,51,19.28,-81.25,302.15,5.1
273,Jieshi,92,CN,1553886811,11,22.82,115.83,292.04,1.71
274,Banepa,40,NP,1553885400,87,27.63,85.52,289.15,2.1
275,Kastamonu,0,TR,1553886906,65,41.38,33.78,269.317,3.26
276,Bethel,40,US,1553882160,92,60.79,-161.76,272.15,2.6
277,Moen,75,NO,1553886793,80,69.13,18.61,275.15,19.5
278,Ponta Grossa,0,BR,1553886910,65,-25.09,-50.16,298.617,3.81
279,Burnie,56,AU,1553886904,82,-41.05,145.91,282.59,7.15
280,Ko Samui,32,TH,1553886779,100,9.54,99.94,302.517,3.76
281,Sorong,56,ID,1553886914,100,-0.86,131.25,300.267,1.81
282,Mudon,0,MM,1553886915,88,16.26,97.73,294.317,1.71
283,Kilindoni,8,TZ,1553886917,100,-7.91,39.67,301.617,3.01
284,Kuala Terengganu,75,MY,1553882400,88,5.33,103.14,300.15,1.0
285,Sydney,75,AU,1553886695,93,-33.85,151.22,292.15,2.6
286,Sabha,0,LY,1553886920,34,27.03,14.43,291.567,3.61
287,Katsuura,75,JP,1553886265,76,33.93,134.5,283.15,1.0
288,Dudinka,92,RU,1553886923,95,69.41,86.18,271.017,6.56
289,Mangrol,0,IN,1553886924,44,25.33,76.51,294.817,1.41
290,Havelock,0,US,1553886771,40,34.88,-76.9,297.59,6.2
291,Bucerias,5,MX,1553886622,65,20.76,-105.33,298.71,4.1
292,Eyrarbakki,20,IS,1553886883,100,63.86,-21.15,274.26,3.6
293,Ous,0,RU,1553886929,90,60.91,61.52,270.717,2.21
294,Auki,0,NG,1553886931,17,12.18,6.51,306.367,3.01
295,Fortuna,20,ES,1553886924,67,38.18,-1.13,287.59,5.7
296,Half Moon Bay,1,US,1553886934,62,37.46,-122.43,289.82,5.1
297,Zhigansk,56,RU,1553886935,76,66.77,123.37,260.617,1.91
298,Kotma,0,IN,1553886936,64,23.2,81.98,294.567,1.01
299,Maramba,92,ID,1553886938,95,-2.58,120.81,292.167,0.51
300,Saryagash,90,KZ,1553884200,93,41.45,69.17,283.15,2.1
301,Kadaya,0,RU,1553886941,56,50.93,119.29,256.167,1.26
302,Tevaitoa,8,PF,1553886942,98,-16.78,-151.5,302.017,3.36
303,Santiago del Estero,24,AR,1553886943,63,-27.8,-64.26,301.667,4.71
304,Okhotsk,0,RU,1553886945,91,59.36,143.24,262.217,3.31
305,Alofi,75,NU,1553882400,88,-19.06,-169.92,298.15,2.6
306,Ambon,0,FR,1553886927,58,47.55,-2.56,286.48,2.1
307,Hai Duong,90,VN,1553884200,100,20.94,106.32,298.15,1.5
308,Mungwi,64,ZM,1553886950,95,-10.17,31.37,291.067,1.26
309,Montbrison,0,FR,1553886938,35,45.61,4.07,289.82,6.2
310,Oum Hadjer,0,TD,1553886953,20,13.3,19.7,303.267,3.36
311,Puerto Ayora,20,EC,1553886933,74,-0.74,-90.35,302.15,6.7
312,Ust-Tsilma,88,RU,1553886955,78,65.44,52.15,273.417,5.81
313,Lubango,0,AO,1553886706,91,-14.92,13.49,294.317,0.66
314,Srednekolymsk,0,RU,1553886958,55,67.46,153.71,252.467,1.41
315,Oneonta,92,US,1553886831,91,42.45,-75.06,281.48,1.34
316,Port-Gentil,40,GA,1553882400,89,-0.72,8.78,302.15,4.1
317,Mopipi,0,BW,1553886962,24,-21.2,24.86,301.767,3.11
318,Vrangel,12,RU,1553886963,100,42.73,133.08,274.417,2.76
319,Strezhevoy,0,RU,1553884200,69,60.73,77.6,275.15,5.0
320,Barao de Melgaco,75,BR,1553882400,83,-16.19,-55.97,302.15,4.6
321,Mwinilunga,0,ZM,1553886967,57,-11.73,24.43,294.417,2.01
322,Buala,88,SB,1553886968,100,-8.15,159.59,298.617,2.56
323,Conde,0,BR,1553886970,68,-11.81,-37.61,303.817,5.01
324,Las Palmas,90,PE,1553882400,290,-6.53,-76.35,290.15,1.16
325,Santa Maria,20,BR,1553882400,58,-29.69,-53.81,302.15,4.1
326,Mandalgovi,32,MN,1553886976,59,45.76,106.27,261.817,1.41
327,Bonavista,48,CA,1553886945,74,48.65,-53.11,275.37,1.34
328,San Patricio,0,PY,1553886978,60,-26.98,-56.83,305.067,1.96
329,Barrow,36,AR,1553886980,59,-38.31,-60.23,297.417,7.36
330,Saint-Michel-des-Saints,64,CA,1553886902,7,46.68,-73.92,275.37,0.89
331,Ihosy,68,MG,1553886982,94,-22.4,46.13,291.567,1.16
332,Port Lincoln,76,AU,1553886984,92,-34.72,135.86,287.817,8.61
333,Zeya,24,RU,1553886985,72,53.74,127.27,258.067,0.96
334,Mackay,75,CA,1553882400,52,53.65,-115.58,278.15,1.56
335,San Andres,0,PH,1553886988,100,13.32,122.68,300.017,5.41
336,Nova Petropolis,75,BR,1553886955,53,-29.38,-51.11,303.71,3.1
337,Lebu,20,ET,1553886991,49,8.96,38.73,289.017,2.96
338,Tanabe,12,JP,1553886721,77,33.73,135.39,283.71,0.76
339,Namwala,0,ZM,1553886993,35,-15.75,26.45,300.167,5.31
340,Komsomolskiy,0,RU,1553886995,85,67.55,63.78,269.817,8.61
341,Caravelas,56,BR,1553886996,100,-17.73,-39.27,300.467,8.01
342,Berlevag,75,NO,1553885400,100,70.86,29.09,273.15,17.0
343,Turayf,40,SA,1553882400,54,31.68,38.65,287.15,3.1
344,Arucas,75,ES,1553886934,88,28.12,-15.52,292.04,4.6
345,Cuamba,68,MZ,1553887001,56,-14.8,36.54,299.017,4.61
346,Lompoc,1,US,1553886852,42,34.64,-120.46,294.26,4.6
347,Rundu,64,NA,1553887004,42,-17.91,19.77,300.917,2.41
348,Nanortalik,92,GL,1553887005,99,60.14,-45.24,273.267,4.66
349,Broken Hill,0,AU,1553882400,53,-31.97,141.45,284.15,8.2
350,Astana,90,KZ,1553884200,93,51.13,71.43,276.15,6.0
351,Yumen,32,CN,1553887009,56,40.29,97.04,271.817,4.56
352,San Borja,64,BO,1553887010,85,-14.86,-66.75,299.917,0.61
353,Morondava,0,MG,1553887012,84,-20.3,44.28,302.117,2.51
354,Maceio,40,BR,1553882400,58,-9.67,-35.74,303.15,5.7
355,Menongue,92,AO,1553887014,35,-14.66,17.68,300.367,2.01
356,Pasni,0,PK,1553887015,75,25.26,63.48,299.517,7.36
357,Kemin,88,KG,1553887017,90,42.79,75.7,273.817,0.86
358,Nuuk,75,GL,1553885400,74,64.17,-51.74,274.15,8.7
359,Talnakh,92,RU,1553887019,90,69.49,88.39,270.767,6.06
360,Bluffton,90,US,1553887014,100,40.74,-85.17,287.15,2.06
361,Harper,90,US,1553886688,77,30.3,-99.24,293.71,4.6
362,Huanren,88,CN,1553887024,53,41.26,125.37,270.917,1.31
363,Luderitz,8,NA,1553887025,81,-26.65,15.16,292.617,4.36
364,Yorkton,90,CA,1553884260,77,51.21,-102.46,273.15,9.8
365,Tabou,0,CI,1553887028,95,4.42,-7.36,302.917,5.81
366,Khandbari,32,NP,1553887029,63,27.38,87.21,274.917,0.76
367,Ouahigouya,0,BF,1553887030,13,13.58,-2.42,311.567,3.56
368,Riyadh,75,SA,1553882400,19,24.63,46.72,297.15,5.1
369,Kolokani,0,ML,1553887033,18,13.58,-8.03,310.817,2.66
370,Ugoofaaru,24,MV,1553887034,100,5.67,73.0,302.217,1.56
371,Namtsy,0,RU,1553884200,76,62.72,129.66,250.15,1.0
372,Kosh-Agach,48,RU,1553887037,79,49.99,88.66,266.017,1.16
373,Mabaruma,68,GY,1553887038,76,8.2,-59.78,301.617,3.76
374,Helong,12,CN,1553887040,94,25.94,116.13,285.317,1.06
375,Baykit,0,RU,1553887041,67,61.68,96.39,262.817,1.11
